home_team,total,wins,losses,prop,draws,season,goals,goals_per_game,Goals_Against,cleansheets
Manchester City,38,28,5,0.7368421052631579,5,2011-2012,93.0,2.4473684210526314,29.0,17
Manchester United,38,28,5,0.7368421052631579,5,2011-2012,89.0,2.3421052631578947,33.0,20
Arsenal,38,21,10,0.5526315789473685,7,2011-2012,74.0,1.9473684210526316,49.0,13
Tottenham Hotspur,38,20,9,0.5263157894736842,9,2011-2012,66.0,1.736842105263158,41.0,14
Newcastle United,38,19,11,0.5,8,2011-2012,56.0,1.4736842105263157,51.0,15
Chelsea,38,18,10,0.47368421052631576,10,2011-2012,65.0,1.7105263157894737,46.0,10
Everton,38,15,12,0.39473684210526316,11,2011-2012,50.0,1.3157894736842106,40.0,12
Fulham,38,14,14,0.3684210526315789,10,2011-2012,48.0,1.263157894736842,51.0,11
Liverpool,38,14,14,0.3684210526315789,10,2011-2012,47.0,1.236842105263158,40.0,12
West Bromwich Albion,38,13,17,0.34210526315789475,8,2011-2012,45.0,1.1842105263157894,52.0,10
Swansea City,38,12,15,0.3157894736842105,11,2011-2012,44.0,1.1578947368421053,51.0,14
Norwich City,38,12,15,0.3157894736842105,11,2011-2012,52.0,1.368421052631579,66.0,3
Wigan Athletic,38,11,17,0.2894736842105263,10,2011-2012,42.0,1.105263157894737,62.0,8
Stoke City,38,11,15,0.2894736842105263,12,2011-2012,36.0,0.9473684210526315,53.0,9
Sunderland,38,11,15,0.2894736842105263,12,2011-2012,45.0,1.1842105263157894,46.0,12
Queens Park Rangers,38,10,21,0.2631578947368421,7,2011-2012,43.0,1.131578947368421,66.0,7
Bolton Wanderers,38,10,22,0.2631578947368421,6,2011-2012,46.0,1.2105263157894737,77.0,3
Blackburn Rovers,38,8,23,0.21052631578947367,7,2011-2012,48.0,1.263157894736842,78.0,3
Aston Villa,38,7,14,0.18421052631578946,17,2011-2012,37.0,0.9736842105263158,53.0,9
Wolverhampton Wanderers,38,5,23,0.13157894736842105,10,2011-2012,40.0,1.0526315789473684,82.0,4
